uri,nome,siglaSexo,dataNascimento,ufNascimento
https://dadosabertos.camara.leg.br/api/v2/deputados/220593,Abilio Brunini,M,1984-01-31,MT
https://dadosabertos.camara.leg.br/api/v2/deputados/204379,Acácio Favacho,M,1983-09-28,AP
https://dadosabertos.camara.leg.br/api/v2/deputados/220714,Adail Filho,M,1992-02-16,AM
https://dadosabertos.camara.leg.br/api/v2/deputados/221328,Adilson Barroso,M,1964-06-14,MG
https://dadosabertos.camara.leg.br/api/v2/deputados/204560,Adolfo Viana,M,1981-02-02,BA
https://dadosabertos.camara.leg.br/api/v2/deputados/204528,Adriana Ventura,F,1969-03-06,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/121948,Adriano do Baldy,M,1969-09-06,GO
https://dadosabertos.camara.leg.br/api/v2/deputados/74646,Aécio Neves,M,1960-03-10,MG
https://dadosabertos.camara.leg.br/api/v2/deputados/160508,Afonso Florence,M,1960-10-15,BA
https://dadosabertos.camara.leg.br/api/v2/deputados/136811,Afonso Hamm,M,1962-04-25,RS
https://dadosabertos.camara.leg.br/api/v2/deputados/178835,Afonso Motta,M,1950-01-08,RS
https://dadosabertos.camara.leg.br/api/v2/deputados/160527,Aguinaldo Ribeiro,M,1969-02-13,PB
https://dadosabertos.camara.leg.br/api/v2/deputados/204495,Airton Faleiro,M,1959-03-16,RS
https://dadosabertos.camara.leg.br/api/v2/deputados/204549,AJ Albuquerque,M,1983-09-26,CE
https://dadosabertos.camara.leg.br/api/v2/deputados/73579,Alberto Fraga,M,1956-06-02,SE
https://dadosabertos.camara.leg.br/api/v2/deputados/74696,Alberto Mourão,M,1954-04-26,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/220538,Albuquerque,M,1974-01-25,CE
https://dadosabertos.camara.leg.br/api/v2/deputados/160559,Alceu Moreira,M,1954-06-04,RS
https://dadosabertos.camara.leg.br/api/v2/deputados/204501,Alencar Santana,M,1976-03-14,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/178972,Alex Manente,M,1979-08-22,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/204571,Alex Santana,M,1972-06-22,BA
https://dadosabertos.camara.leg.br/api/v2/deputados/220542,Alexandre Guimarães,M,1986-02-19,TO
https://dadosabertos.camara.leg.br/api/v2/deputados/160545,Alexandre Leite,M,1989-04-18,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/220554,Alexandre Lindenmeyer,M,1963-12-23,RS
https://dadosabertos.camara.leg.br/api/v2/deputados/204503,Alexandre Padilha,M,1971-09-14,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/221148,Alfredinho,M,1959-06-24,PI
https://dadosabertos.camara.leg.br/api/v2/deputados/220576,Alfredo Gaspar,M,1970-08-13,AL
https://dadosabertos.camara.leg.br/api/v2/deputados/74057,Alice Portugal,F,1959-05-16,BA
https://dadosabertos.camara.leg.br/api/v2/deputados/178927,Aliel Machado,M,1989-02-26,PR
https://dadosabertos.camara.leg.br/api/v2/deputados/204353,Aline Gurgel,F,1980-11-25,AP
https://dadosabertos.camara.leg.br/api/v2/deputados/226708,Allan Garcês,M,1969-08-30,PA
https://dadosabertos.camara.leg.br/api/v2/deputados/178937,Altineu Côrtes,M,1968-09-13,RJ
https://dadosabertos.camara.leg.br/api/v2/deputados/178881,Aluisio Mendes,M,1961-11-11,MG
https://dadosabertos.camara.leg.br/api/v2/deputados/220596,Amália Barros,F,1985-03-22,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/220707,Amanda Gentil,F,1998-12-25,MA
