id,titulo,dataCriacao,idLegislatura
53249,Frente Parlamentar Mista da Habitação,2007-06-11,53
53250,Frente Parlamentar em Apoio e Fortalecimento da Mídia Regional,2007-06-14,53
53251,Frente Parlamentar da Agricultura Familiar,2007-06-15,53
53252,Frente Parlamentar da Terra,2007-08-14,53
53253,"Frente Parlamentar de Apoio as Santas Casas de Misericórdia, Hospitais e Entidades Filantrópicas na Área da Saúde",2007-07-10,53
53254,Frente Parlamentar pelo Fortalecimento dos Estados e Municípios Mineradores,2007-07-05,53
53255,Frente Parlamentar em Defesa da Indústria Aeronáutica Brasileira,2007-07-11,53
53257,Frente Parlamentar em Defesa do Trânsito Seguro,2007-07-11,53
53258,Frente Parlamentar pela Regulamentação da Profissão de Mototaxista e Motoboy,2007-07-26,53
53259,Frente Parlamentar Mista em Defesa da Vida - Contra o Aborto,2007-08-15,53
53263,Frente Parlamentar Mista de Combate à Pirataria e Sonegação Fiscal.,2007-09-10,53
53264,Frente Parlamentar da Pesquisa e Inovação,2007-09-18,53
53266,Frente Parlamentar em Defesa do Voto Aberto,2007-09-24,53
53267,Frente Parlamentar de apoio aos Agentes Comunitários de Saúde e Agentes de Combate às Endemias.,2007-10-01,53
53269,Frente Parlamentar Mista em Defesa do Carvão Mineral,2007-10-08,53
53270,Frente Parlamentar Mista em Defesa da Infraestrutura Nacional,2007-12-12,53
53271,Frente Parlamentar de Fortalecimento dos Estados e Municípios e Contra a Criação de Novos Estados,2007-10-18,53
53274,"Frente Parlamentar Cristã Brasil-Israel pela paz na Terra Santa, Oriente Médio e no Mundo (FRENPAZBRIL)",2007-11-19,53
53275,Frente Parlamentar em Defesa do Profissional da Saúde.,2007-11-26,53
53276,Frente Parlamentar Mista em Defesa da Cultura,2007-12-05,53
53277,Frente Parlamentar em Defesa da BR-364,2007-12-06,53
53281,Frente Parlamentar em Defesa do Consórcio Integrado de Turismo: MA/PI/CE.,2007-12-14,53
53282,Frente Parlamentar em Defesa da Empresa Brasileira de Correios - FPECT,2007-12-18,53
53285,Frente Parlamentar em Defesa do Ensino Superior.,2008-05-15,53
53287,Frente Parlamentar Mista para o Desenvolvimento da Indústria Têxtil e de Confecções.,2008-04-01,53
53289,Frente Parlamentar em Defesa do Rio Doce,2008-04-18,53
53290,Frente Parlamentar de Apoio às Forças Armadas na Amazônia,2008-04-14,53
53292,Frente Parlamentar da Agropecuária - FPA,2008-04-16,53
53293,Frente Parlamentar do Café.,2008-04-24,53
