idDeputado,idProposicao,voto,idVotacao
204379,2476101,Não,1197773-140
220714,2476101,Não,1197773-140
221328,2476101,Não,1197773-140
204560,2476101,Não,1197773-140
204528,2476101,Não,1197773-140
121948,2476101,Não,1197773-140
178835,2476101,Não,1197773-140
204495,2476101,Não,1197773-140
204549,2476101,Não,1197773-140
73579,2476101,Não,1197773-140
220538,2476101,Não,1197773-140
160559,2476101,Não,1197773-140
204501,2476101,Sim,1197773-140
220542,2476101,Não,1197773-140
160545,2476101,Não,1197773-140
221148,2476101,Não,1197773-140
220576,2476101,Sim,1197773-140
74057,2476101,Não,1197773-140
178881,2476101,Não,1197773-140
220707,2476101,Não,1197773-140
204356,2476101,Não,1197773-140
220715,2476101,Não,1197773-140
107970,2476101,Não,1197773-140
220556,2476101,Sim,1197773-140
220632,2476101,Não,1197773-140
204423,2476101,Não,1197773-140
133439,2476101,Não,1197773-140
178882,2476101,Não,1197773-140
204515,2476101,Não,1197773-140
123756,2476101,Não,1197773-140
220544,2476101,Não,1197773-140
220638,2476101,Não,1197773-140
220675,2476101,Não,1197773-140
73433,2476101,Não,1197773-140
141391,2476101,Não,1197773-140
160541,2476101,Artigo 17,1197773-140
74090,2476101,Não,1197773-140
123086,2476101,Não,1197773-140
160665,2476101,Não,1197773-140
220577,2476101,Não,1197773-140
160512,2476101,Não,1197773-140
69871,2476101,Não,1197773-140
178975,2476101,Não,1197773-140
220605,2476101,Não,1197773-140
220612,2476101,Não,1197773-140
73701,2476101,Não,1197773-140
109429,2476101,Não,1197773-140
204358,2476101,Não,1197773-140
204374,2476101,Não,1197773-140
204388,2476101,Não,1197773-140
160538,2476101,Não,1197773-140
220635,2476101,Não,1197773-140
220574,2476101,Não,1197773-140
220548,2476101,Sim,1197773-140
220690,2476101,Não,1197773-140
178829,2476101,Não,1197773-140
204507,2476101,Não,1197773-140
204361,2476101,Não,1197773-140
178962,2476101,Não,1197773-140
178993,2476101,Sim,1197773-140
204460,2476101,Não,1197773-140
74262,2476101,Não,1197773-140
204426,2476101,Sim,1197773-140
141398,2476101,Não,1197773-140
164360,2476101,Não,1197773-140
204369,2476101,Não,1197773-140
220699,2476101,Não,1197773-140
178876,2476101,Não,1197773-140
204488,2476101,Não,1197773-140
73441,2476101,Não,1197773-140
204504,2476101,Sim,1197773-140
74171,2476101,Não,1197773-140
204462,2476101,Não,1197773-140
220665,2476101,Não,1197773-140
74537,2476101,Não,1197773-140
141408,2476101,Não,1197773-140
88256,2476101,Não,1197773-140
98148,2476101,Não,1197773-140
220594,2476101,Não,1197773-140
204378,2476101,Não,1197773-140
220595,2476101,Sim,1197773-140
220666,2476101,Não,1197773-140
220590,2476101,Não,1197773-140
220608,2476101,Não,1197773-140
204355,2476101,Não,1197773-140
141411,2476101,Não,1197773-140
220555,2476101,Sim,1197773-140
74467,2476101,Não,1197773-140
220629,2476101,Não,1197773-140
220571,2476101,Não,1197773-140
74060,2476101,Não,1197773-140
220582,2476101,Não,1197773-140
204409,2476101,Não,1197773-140
204459,2476101,Não,1197773-140
220557,2476101,Não,1197773-140
62881,2476101,Não,1197773-140
204511,2476101,Não,1197773-140
220539,2476101,Não,1197773-140
220565,2476101,Não,1197773-140
220625,2476101,Não,1197773-140
220561,2476101,Não,1197773-140
220642,2476101,Não,1197773-140
220673,2476101,Não,1197773-140
220649,2476101,Não,1197773-140
220583,2476101,Não,1197773-140
204512,2476101,Não,1197773-140
220701,2476101,Não,1197773-140
220652,2476101,Não,1197773-140
220654,2476101,Não,1197773-140
220619,2476101,Não,1197773-140
220553,2476101,Não,1197773-140
220691,2476101,Não,1197773-140
178929,2476101,Não,1197773-140
73768,2476101,Não,1197773-140
220671,2476101,Não,1197773-140
160599,2476101,Sim,1197773-140
220602,2476101,Não,1197773-140
143632,2476101,Não,1197773-140
160758,2476101,Não,1197773-140
220573,2476101,Não,1197773-140
