id,data,descricao,aprovacao,ultimaApresentacaoProposicao_idProposicao
2355879-47,2024-02-06,"Realizar o encaminhamento do PL-1825/2023 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0,0
2355879-48,2024-02-06,"Realizar o encaminhamento do PL-1825/2023 à CE (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0,0
2355879-49,2024-02-06,"Realizar o encaminhamento do PL-1825/2023 à CFT (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0,0
2355879-42,2024-02-06,"Aprovado o Substitutivo ao Projeto de Lei nº 1.825, de 2023, adotado pelo relator da Comissão de Educação.",1.0,2417329
2355879-45,2024-02-06,Aprovada a Redação Final assinada pelo relator Dep. Romero Rodrigues (PODE/PB).,1.0,2417329
491998-160,2024-02-06,"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 402, de 2011, adotada pelo relator da Comissão de Segurança Pública e Combate ao Crime Organizado.",1.0,2417341
491998-163,2024-02-06,"Aprovada a Redação Final assinada pelo relator, Dep. Coronel Telhada (PP/SP).",1.0,2417341
2369369-50,2024-02-06,"Aprovado o Projeto de Decreto Legislativo nº 167, de 2023.",1.0,0
2369369-52,2024-02-06,"Aprovada a Redação Final, assinada pelo Relator, Dep. Flávio Nogueira (PT-PI).",1.0,0
2382349-49,2024-02-06,"Aprovado o Projeto de Decreto Legislativo nº 278, de 2023.",1.0,0
2382349-51,2024-02-06,"Aprovada a Redação Final, assinada pela Relatora, Dep. Laura Carneiro (PSD-RJ).",1.0,0
2356295-5,2024-02-20,"Em deliberação, a matéria foi ARQUIVADA.",1.0,0
2356248-5,2024-02-20,"Em deliberação, a matéria foi ARQUIVADA.",1.0,0
2369203-5,2024-02-20,"Em deliberação, a matéria foi ARQUIVADA.",1.0,0
2388837-16,2024-02-20,Aprovado.,1.0,2417951
623793-93,2024-02-20,"Aprovado o Projeto de Lei nº 8.035, de 2014.",1.0,2182157
623793-95,2024-02-20,Aprovada a Redação Final assinada pela relatora Dep. Laura Carneiro (PSD-RJ).,1.0,2182157
380852-116,2024-02-20,"Aprovado o Substitutivo ao Projeto de Lei nº 2.613, de 2007, adotado pela relatora da Comissão de Defesa dos Direitos da Pessoa Idosa.",1.0,2418280
380852-119,2024-02-20,"Aprovada a Redação Final assinada pela relatora, Dep. Nely Aquino (PODE-MG).",1.0,2418280
582036-80,2024-02-20,"Aprovada a Subemenda Substitutiva Global ao Substitutivo da Comissão de Trabalho, de Administração e Serviço Público ao Projeto de Lei nº 5.827, de 2013, da Comissão de Constituição e Justiça e de Cidadania.",1.0,2369326
582036-84,2024-02-20,Mantido o texto.,,2369326
582036-86,2024-02-20,Aprovada a Redação Final assinada pelo relator Dep. Luiz Fernando Faria (PSD-MG).,1.0,2369326
2367548-7,2024-02-20,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 442; não: 2; total: 444.,1.0,0
